FlugID,Flugname,StartName,StartkurzBez,StartLand,ZielName,ZielkurzBez,ZielLand,EntfernungInMeilen,Startzeit,Landezeit,Flugtage,Verpflegung,Modellname,Sitzplaetze
1,LH1163,Faro,FAO,Portugal,Frankfurt,FRA,Deutschland,1219,13:10,17:15,247,M,Airbus A321,186
2,LH1163,Faro,FAO,Portugal,Frankfurt,FRA,Deutschland,1219,15:25,19:35,67,M,Airbus A321,186
3,LH1163,Faro,FAO,Portugal,Frankfurt,FRA,Deutschland,1219,15:25,19:35,6,M,Airbus A321,186
4,LH1163,Faro,FAO,Portugal,Frankfurt,FRA,Deutschland,1219,15:40,19:45,6,M,Airbus A321,186
5,WLH319,Florence,FLR,Italien,Frankfurt,FRA,Deutschland,448,06:35,08:15,Daily,SO,Embraer ERJ190,98
6,WLH319,Florence,FLR,Italien,Frankfurt,FRA,Deutschland,448,06:50,08:35,17,SO,Embraer ERJ190,98
7,WLH319,Florence,FLR,Italien,Frankfurt,FRA,Deutschland,448,06:55,08:40,X17,SO,Embraer ERJ190,98
8,WLH309,Florence,FLR,Italien,Frankfurt,FRA,Deutschland,448,09:40,11:20,Daily,SO,Embraer ERJ190,98
9,WLH309,Florence,FLR,Italien,Frankfurt,FRA,Deutschland,448,10:00,11:45,X36,SO,Embraer ERJ190,98
10,WLH309,Florence,FLR,Italien,Frankfurt,FRA,Deutschland,448,10:05,11:50,36,SO,Embraer ERJ190,98
11,WLH311,Florence,FLR,Italien,Frankfurt,FRA,Deutschland,448,11:00,12:45,Daily,SO,Embraer ERJ190,98
12,WLH311,Florence,FLR,Italien,Frankfurt,FRA,Deutschland,448,13:25,15:00,Daily,SO,Embraer ERJ190,98
13,WLH313,Florence,FLR,Italien,Frankfurt,FRA,Deutschland,448,14:25,16:10,Daily,SO,Embraer ERJ190,98
14,WLH313,Florence,FLR,Italien,Frankfurt,FRA,Deutschland,448,14:40,16:15,Daily,SO,Embraer ERJ190,98
15,WLH315,Florence,FLR,Italien,Frankfurt,FRA,Deutschland,448,18:10,19:45,Daily,SO,Embraer ERJ190,98
16,WLH317,Florence,FLR,Italien,Frankfurt,FRA,Deutschland,448,18:45,20:30,Daily,SO,Embraer ERJ190,98
17,WLH317,Florence,FLR,Italien,Frankfurt,FRA,Deutschland,448,18:50,20:25,X7,SO,Embraer ERJ190,98
18,WLX4773,Florence,FLR,Italien,Geneva,GVA,Schweiz,301,12:30,13:40,135,null,Saab 2000,58
19,WLX4773,Florence,FLR,Italien,Geneva,GVA,Schweiz,301,15:35,16:50,7,null,Saab 2000,58
20,WLX4773,Florence,FLR,Italien,Geneva,GVA,Schweiz,301,16:05,17:15,24,null,Saab 2000,58
21,LH1162,Frankfurt,FRA,Deutschland,Faro,FAO,Portugal,1219,09:50,12:00,2,B,Airbus A319,124
